Time	Showa
2018-01-01 00:00	
2018-01-04 00:00	
2018-01-08 00:00	
2018-01-11 00:00	
2018-01-15 00:00	
2018-01-19 00:00	
2018-01-22 00:00	
2018-01-26 00:00	
2018-01-30 00:00	44174
2018-02-02 00:00	44336
2018-02-06 00:00	44306
2018-02-10 00:00	44333
2018-02-13 00:00	44760
2018-02-17 00:00	44885
2018-02-21 00:00	44440
2018-02-24 00:00	44594
2018-02-28 00:00	44492
2018-03-03 00:00	45064
2018-03-07 00:00	45012
2018-03-11 00:00	44972
2018-03-14 00:00	45323
2018-03-18 00:00	44914
2018-03-22 00:00	44559
2018-03-25 00:00	44984
2018-03-29 00:00	44880
2018-04-02 00:00	45201
2018-04-05 00:00	45252
2018-04-09 00:00	45431
2018-04-13 00:00	45291
2018-04-16 00:00	45524
2018-04-20 00:00	45513
2018-04-24 00:00	45600
2018-04-27 00:00	45445
2018-05-01 00:00	46091
2018-05-04 00:00	45383
2018-05-08 00:00	45181
2018-05-12 00:00	45735
2018-05-15 00:00	46158
2018-05-19 00:00	45684
2018-05-23 00:00	46176
2018-05-26 00:00	46123
2018-05-30 00:00	45439
2018-06-03 00:00	46232
2018-06-06 00:00	46841
2018-06-10 00:00	46330
2018-06-14 00:00	45587
2018-06-17 00:00	46453
2018-06-21 00:00	45519
2018-06-25 00:00	46179
2018-06-28 00:00	46061
2018-07-02 00:00	46730
2018-07-05 00:00	46988
2018-07-09 00:00	47029
2018-07-13 00:00	46573
2018-07-16 00:00	47047
2018-07-20 00:00	46764
2018-07-24 00:00	46153
2018-07-27 00:00	46691
2018-07-31 00:00	46237
2018-08-04 00:00	46635
2018-08-07 00:00	46531
2018-08-11 00:00	46423
2018-08-15 00:00	47005
2018-08-18 00:00	46596
2018-08-22 00:00	46354
2018-08-25 00:00	46414
2018-08-29 00:00	46790
2018-09-02 00:00	46819
2018-09-05 00:00	46820
2018-09-09 00:00	46695
2018-09-13 00:00	46931
2018-09-16 00:00	45924
2018-09-20 00:00	46629
2018-09-24 00:00	46903
2018-09-27 00:00	46857
2018-10-01 00:00	46823
2018-10-05 00:00	46827
2018-10-08 00:00	46609
2018-10-12 00:00	46074
2018-10-16 00:00	44971
2018-10-19 00:00	45896
2018-10-23 00:00	45665
2018-10-26 00:00	46023
2018-10-30 00:00	45923
2018-11-03 00:00	46254
2018-11-06 00:00	45719
2018-11-10 00:00	45613
2018-11-14 00:00	45068
2018-11-17 00:00	45384
2018-11-21 00:00	44470
2018-11-25 00:00	44827
2018-11-28 00:00	44821
2018-12-02 00:00	44844
2018-12-06 00:00	44421
2018-12-09 00:00	44436
2018-12-13 00:00	44369
2018-12-17 00:00	44438
2018-12-20 00:00	44375
2018-12-24 00:00	44288
2018-12-27 00:00	44387
2018-12-31 00:00	44595
2019-01-04 00:00	44311
2019-01-07 00:00	44100
2019-01-11 00:00	43938
2019-01-15 00:00	44255
2019-01-18 00:00	44513
2019-01-22 00:00	44359
2019-01-26 00:00	44398
2019-01-29 00:00	44295
2019-02-02 00:00	44523
2019-02-06 00:00	43926
2019-02-09 00:00	44225
2019-02-13 00:00	44125
2019-02-16 00:00	44171
2019-02-20 00:00	44365
2019-02-24 00:00	44462
2019-02-27 00:00	44820
2019-03-03 00:00	44753
2019-03-07 00:00	44587
2019-03-10 00:00	44826
2019-03-14 00:00	44950
2019-03-18 00:00	44636
2019-03-21 00:00	44935
