Time	Showa
2018-01-01 00:00	
2018-01-04 00:00	
2018-01-08 00:00	
2018-01-11 00:00	
2018-01-15 00:00	
2018-01-19 00:00	
2018-01-22 00:00	
2018-01-26 00:00	
2018-01-30 00:00	53343
2018-02-02 00:00	53317
2018-02-06 00:00	52622
2018-02-10 00:00	53876
2018-02-13 00:00	
2018-02-17 00:00	53943
2018-02-21 00:00	52827
2018-02-24 00:00	52939
2018-02-28 00:00	53073
2018-03-03 00:00	53296
2018-03-07 00:00	52827
2018-03-11 00:00	53192
2018-03-14 00:00	53297
2018-03-18 00:00	52946
2018-03-22 00:00	52276
2018-03-25 00:00	52660
2018-03-29 00:00	52563
2018-04-02 00:00	53008
2018-04-05 00:00	53249
2018-04-09 00:00	53384
2018-04-13 00:00	54143
2018-04-16 00:00	53967
2018-04-20 00:00	53099
2018-04-24 00:00	53512
2018-04-27 00:00	
2018-05-01 00:00	
2018-05-04 00:00	
2018-05-08 00:00	
2018-05-12 00:00	
2018-05-15 00:00	52664
2018-05-19 00:00	52201
2018-05-23 00:00	52653
2018-05-26 00:00	52985
2018-05-30 00:00	52083
2018-06-03 00:00	52573
2018-06-06 00:00	53298
2018-06-10 00:00	52577
2018-06-14 00:00	52894
2018-06-17 00:00	52715
2018-06-21 00:00	52174
2018-06-25 00:00	52494
2018-06-28 00:00	52166
2018-07-02 00:00	52198
2018-07-05 00:00	52749
2018-07-09 00:00	52033
2018-07-13 00:00	51820
2018-07-16 00:00	52328
2018-07-20 00:00	52116
2018-07-24 00:00	52329
2018-07-27 00:00	52568
2018-07-31 00:00	52337
2018-08-04 00:00	52346
2018-08-07 00:00	52401
2018-08-11 00:00	52603
2018-08-15 00:00	52550
2018-08-18 00:00	52161
2018-08-22 00:00	51736
2018-08-25 00:00	52180
2018-08-29 00:00	52465
2018-09-02 00:00	52519
2018-09-05 00:00	52385
2018-09-09 00:00	52152
2018-09-13 00:00	52718
2018-09-16 00:00	52415
2018-09-20 00:00	51995
2018-09-24 00:00	52441
2018-09-27 00:00	52429
2018-10-01 00:00	52284
2018-10-05 00:00	52294
2018-10-08 00:00	52694
2018-10-12 00:00	52098
2018-10-16 00:00	51983
2018-10-19 00:00	52493
2018-10-23 00:00	52263
2018-10-26 00:00	52940
2018-10-30 00:00	52853
2018-11-03 00:00	52561
2018-11-06 00:00	52605
2018-11-10 00:00	52053
2018-11-14 00:00	51884
2018-11-17 00:00	52490
2018-11-21 00:00	52286
2018-11-25 00:00	52884
2018-11-28 00:00	52882
2018-12-02 00:00	52195
2018-12-06 00:00	51635
2018-12-09 00:00	51889
2018-12-13 00:00	52247
2018-12-17 00:00	52735
2018-12-20 00:00	53286
2018-12-24 00:00	53154
2018-12-27 00:00	53479
2018-12-31 00:00	53247
2019-01-04 00:00	53154
2019-01-07 00:00	52967
2019-01-11 00:00	53093
2019-01-15 00:00	53630
2019-01-18 00:00	53997
2019-01-22 00:00	53664
2019-01-26 00:00	53864
2019-01-29 00:00	53483
2019-02-02 00:00	53518
2019-02-06 00:00	52645
2019-02-09 00:00	53411
2019-02-13 00:00	53642
2019-02-16 00:00	54330
2019-02-20 00:00	53681
2019-02-24 00:00	53595
2019-02-27 00:00	53764
2019-03-03 00:00	53498
2019-03-07 00:00	53666
2019-03-10 00:00	53506
2019-03-14 00:00	53277
2019-03-18 00:00	53661
2019-03-21 00:00	54305
2019-03-25 00:00	53169
